book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
The Immortal Life of Henrietta Lacks,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,Rebecca Skloot,4.11,730811,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144i/6493208._SY75_.jpg,cover_233.png
Big Little Lies,https://www.goodreads.com/book/show/33516773-big-little-lies,Liane Moriarty,4.31,999132,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559835163i/33516773._SY75_.jpg,cover_234.png
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay,Gayle Forman,3.92,901333,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630573973i/4374400._SY75_.jpg,cover_235.png
Born a Crime: Stories From a South African Childhood,https://www.goodreads.com/book/show/29780253-born-a-crime,Trevor Noah,4.49,685896,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867911i/29780253._SY75_.jpg,cover_236.png
Dark Places,https://www.goodreads.com/book/show/5886881-dark-places,Gillian Flynn,3.95,745753,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354988288i/5886881._SY75_.jpg,cover_237.png
The Guest List,https://www.goodreads.com/book/show/52656911-the-guest-list,Lucy Foley,3.82,975072,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591461181i/52656911._SY75_.jpg,cover_238.png
The Boy in the Striped Pajamas,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,John Boyne,4.16,821616,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171i/39999._SY75_.jpg,cover_239.png
The Woman in the Window,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window,A.J. Finn,3.95,772627,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528225499i/40389527._SY75_.jpg,cover_240.png
"Matched (Matched, #1)",https://www.goodreads.com/book/show/7735333-matched,Ally Condie,3.63,776075,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367706191i/7735333._SY75_.jpg,cover_241.png
"The Elite (The Selection, #2)",https://www.goodreads.com/book/show/16248068-the-elite,Kiera Cass,3.95,763243,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391454595i/16248068._SY75_.jpg,cover_242.png
